Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita), Population ,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1990,558.8846445," 7,183,647 ",1.284840277,28.01157941,3540.005792,388.5213179,79.59869385,22.87311116
Indonesia,IDN,East Asia & Pacific,Lower middle income,1990,543.704869," 181,436,821 ",0.824341653,58.59753114,2989.53415,162.5028472,61.70114517,65.43771425
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1990,541.8073996," 3,095,995 ",0.954653351,45.3807809,5043.377666,1080.105104,97.47466278,50.21543282
Seychelles,SYC,Sub-Saharan Africa,High income,1990,540.8088394," 69,507 ",2.163048326,4.248395139,9188.613001,,89.54558563,88.4130395
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1990,528.9917716," 40,834 ",2.604275849,40.03232618,9865.04407,,87.54239655,42.30769231
Guyana,GUY,Latin America & Caribbean,Upper middle income,1990,514.033706," 743,309 ",1.524403714,42.2339423,1858.407521,,68.21060181,84.63296927
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1990,487.1676521," 4,144,565 ",0.614917368,68.76593683,1934.79018,308.3556417,66.82804108,37.51038724
Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,483.3573938," 12,171,441 ",0.420284254,72.25525192,2995.661116,51.76051053,11.39780808,48.9099222
Honduras,HND,Latin America & Caribbean,Lower middle income,1990,480.2053466," 4,955,328 ",0.523188172,70.12908225,2073.180546,367.8868483,54.74451828,72.71427295
Ethiopia,ETH,Sub-Saharan Africa,Low income,1990,476.9244251," 48,086,516 ",0.06276065,96.63538678,421.3788236,22.50111029,0.01,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1990,476.1671031," 9,263,813 ",0.549031916,74.96532992,3296.79844,200.4574142,60.18920136,44.30757745
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1990,469.7846844," 5,254,984 ",0.478002407,67.13703581,2937.315707,353.3788114,72.46346283,18.1949807
Philippines,PHL,East Asia & Pacific,Lower middle income,1990,463.4430355," 61,947,348 ",0.67417677,50.9465674,2591.926586,360.7418351,62.11444855,21.98410303
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1990,457.7252343," 23,402,507 ",0.248827871,77.5040046,1538.537488,125.2002617,3.318389893,8.300242471
Mozambique,MOZ,Sub-Saharan Africa,Low income,1990,447.0249778," 13,247,649 ",0.077228269,93.10356192,244.6592082,41.36583027,0.01,55.16162669
Peru,PER,Latin America & Caribbean,Upper middle income,1990,445.9805528," 21,826,658 ",0.965359974,39.4258282,3433.763634,546.3502475,60.22378922,60.87578125
Grenada,GRD,Latin America & Caribbean,Upper middle income,1990,441.141188," 96,283 ",1.104483658,8.342131789,4680.510115,,81.56082916,49.97058756
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1990,425.1606756," 11,715,218 ",0.148054522,81.59313508,1952.243722,200.1669965,30.12971687,51.43957183
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1990,412.4554916," 20,147,590 ",0.202623461,73.26663513,1126.84678,49.74584993,32.8,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1990,404.6727214," 138,185 ",1.167623114,5.467459385,6206.229662,,83.72320557,35.73770367
Pakistan,PAK,South Asia,Lower middle income,1990,398.405481," 107,678,614 ",0.636761224,57.50053324,1974.517294,277.3531242,59.93660355,3.278071814
Fiji,FJI,East Asia & Pacific,Upper middle income,1990,392.2525624," 728,628 ",1.117269718,53.09400578,3807.735433,,60.46178818,52.15654211
Tanzania,TZA,Sub-Saharan Africa,Low income,1990,382.2988763," 25,459,604 ",0.089011832,94.78490932,951.7795331,51.17911496,2.483708858,63.12937458
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1990,380.7610989," 6,856,244 ",0.839700279,37.35900159,2396.114889,266.4724301,56.38216782,57.96639897
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1990,361.6994092," 14,628,260 ",0.260957011,80.62642197,1240.701882,326.764769,23.53626251,37.91421289
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1990,358.4959418," 861,373 ",0.493830199,85.24571644,3476.087528,,0.01,27.44186047
